240,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,360,300
420,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,450
420,-2,0,120,60,-2,0,120,120,120,120,60,-2,3,123,63,-2,1,121,121,121,121,121,121,61,-2,3,123,123,123,123,123,123,63,0,60,-2,3,123,123,123,123,123,63,-2,0,120,60,-2,450
420,-2,180,-1,210,-2,180,-1,0,120,120,90,-2,213,-1,213,-2,181,-1,-1,-1,-1,-1,-1,211,-2,183,-1,-1,-1,-1,-1,-1,183,180,210,-2,183,-1,-1,-1,-1,-1,183,-2,180,-1,210,-2,450
420,-2,30,150,90,-2,180,-1,210,-2,-2,-2,-2,213,-1,213,-2,31,151,151,151,151,151,151,91,-2,33,123,123,123,123,63,-1,183,180,210,-2,183,-1,3,153,153,153,93,-2,30,150,90,-2,450
420,-2,-2,-2,-2,-2,30,150,90,-2,0,60,-2,213,-1,213,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,183,-1,183,180,210,-2,183,-1,183,-2,-2,-2,-2,-2,-2,-2,-2,-2,450
270,390,390,390,60,-2,-2,-2,-2,-2,180,210,-2,213,-1,213,-2,1,121,121,121,121,121,121,61,-2,3,153,153,153,153,93,-1,183,180,210,-2,183,-1,183,-2,0,120,60,-2,0,390,390,390,330
-1,-1,-1,-1,420,-2,0,150,150,150,90,210,-2,213,-1,213,-2,181,-1,-1,-1,-1,-1,-1,211,-2,183,-1,-1,-1,-1,-1,-1,183,30,90,-2,183,-1,183,-2,180,-1,210,-2,450,-1,-1,-1,-1
360,360,360,360,90,-2,30,150,150,150,150,90,-2,213,-1,213,-2,31,151,151,151,151,151,151,91,-2,33,153,153,153,153,63,-1,33,63,-2,-2,183,-1,183,-2,30,150,90,-2,30,360,360,360,360
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,213,-1,213,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,33,63,-1,33,63,-2,183,-1,183,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
390,390,390,390,60,-2,0,60,-2,3,153,153,153,93,-1,213,-2,1,121,121,121,121,121,121,61,-2,0,120,120,120,120,60,33,63,-1,213,-2,183,-1,33,123,123,123,63,-2,0,390,390,390,390
-1,-1,-1,-1,420,-2,180,210,-2,183,-1,-1,-1,-1,-1,213,-2,181,-1,-1,-1,-1,-1,-1,211,-2,180,-1,-1,-1,-1,180,-2,183,-1,213,-2,183,-1,-1,-1,-1,-1,183,-2,450,-1,-1,-1,-1
240,360,360,360,90,-2,30,90,-2,33,153,153,153,153,153,93,-2,31,151,151,151,151,151,151,91,-2,30,120,60,-1,-1,180,-2,33,153,93,-2,33,153,153,153,153,153,93,-2,30,360,360,360,300
420,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,180,-1,-1,180,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,450
420,-2,0,150,150,60,-2,0,120,120,120,120,120,120,120,120,120,60,-2,601,721,841,-1,-1,871,721,661,-2,30,120,120,90,-2,0,150,60,-2,0,390,390,390,60,-2,0,120,120,120,60,-2,450
420,-2,210,0,150,90,-2,30,150,150,60,0,150,150,150,150,150,90,-2,781,-1,-1,-1,-1,-1,-1,421,-2,-2,-2,-2,-2,-2,210,-1,210,-2,450,-1,-1,-1,420,-2,180,-1,-1,-1,210,-2,450
420,-2,210,210,-2,-2,-2,-2,-2,-2,180,210,-2,-2,-2,-2,-2,-2,-2,781,-1,-1,-1,-1,-1,-1,421,-2,0,120,120,120,120,90,-1,210,-2,450,-1,-1,-1,420,-2,180,-1,-1,-1,210,-2,450
420,-2,30,90,-2,0,390,390,60,-2,30,90,-2,0,390,390,390,60,-2,631,751,751,751,751,751,751,691,-2,30,150,150,150,150,150,150,90,-2,450,-1,-1,-1,420,-2,30,150,150,150,90,-2,450
420,-2,-2,-2,-2,450,-1,-1,420,-2,-2,-2,-2,450,-1,-1,-1,420,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,450,-1,-1,-1,420,-2,-2,-2,-2,-2,-2,-2,450
270,390,390,390,390,330,-1,-1,270,390,390,390,390,330,-1,-1,-1,270,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,390,330,-1,-1,-1,270,390,390,390,390,390,390,390,330
